"","seq_name","taxonomy_Kingdom","taxonomy_Supergroup","taxonomy_Division","taxonomy_Class","taxonomy_Order","taxonomy_Family","taxonomy_Genus","taxonomy_Species","confidence_Kingdom","confidence_Supergroup","confidence_Division","confidence_Class","confidence_Order","confidence_Family","confidence_Genus","confidence_Species"
"836","ASV_836","Eukaryota","Alveolata","Apicomplexa","Coccidiomorphea","Eimeriida","Eimeriidae","Eimeria1","Eimeria1_brunetti",74.2115605565075,42.1382460815445,42.1382460815445,42.1382460815445,42.1382460815445,42.1382460815445,11.8621935111476,4.48839062778246
"837","ASV_837","Eukaryota","Opisthokonta","Fungi","Basidiomycota","Agaricomycotina","Agaricomycetes","Mycena","Mycena_pura",76.0525221265965,76.0525221265965,76.0525221265965,76.0525221265965,65.8067017108443,65.8067017108443,25.169767888372,8.98481609982474
"838","ASV_838","Eukaryota","Opisthokonta","Fungi","Basidiomycota","Agaricomycotina","Agaricomycetes","Phlebia","Phlebia_sp.",72.3299855667834,72.3299855667834,72.3299855667834,72.3299855667834,52.8139511168145,52.8139511168145,43.8100356550068,20.5320025282754
"839","ASV_839","Eukaryota","Opisthokonta","Fungi","Basidiomycota","Pucciniomycotina","Cystobasidiomycetes","Cystobasidiomycetes_X","Cystobasidiomycetes_X_sp.",100,100,100,100,100,100,38.4197808802789,38.4197808802789
"840","ASV_840","Eukaryota","Opisthokonta","Fungi","Basidiomycota","Pucciniomycotina","Pucciniomycotina_X","Pucciniomycotina_XX","Pucciniomycotina_XX_sp.",96.0243970476256,96.0243970476256,96.0243970476256,96.0243970476256,96.0243970476256,82.5545176148471,82.5545176148471,82.5545176148471
"841","ASV_841","Eukaryota","Opisthokonta","Fungi","Basidiomycota","Ustilaginomycotina","Exobasidiomycetes","Tilletiopsis","Tilletiopsis_pallescens",76.2055487267148,76.2055487267148,76.2055487267148,76.2055487267148,41.9364457512378,41.9364457512378,41.9364457512378,41.1953289221161
"842","ASV_842","Eukaryota","Alveolata","Apicomplexa","Coccidiomorphea","Eimeriida","Eimeriidae","Eimeria7","Eimeria7_sp.",74.6439749859029,69.0772041764431,69.0772041764431,69.0772041764431,69.0772041764431,69.0772041764431,25.9168309079617,10.3488589606524
"843","ASV_843","Eukaryota","Opisthokonta","Fungi","Ascomycota","Saccharomycotina","Saccharomycetales","Candida","Candida_austromarina",75.7307035519607,75.7307035519607,75.7307035519607,61.0936922542559,60.4572393321951,60.4572393321951,48.0651347007048,14.5749690401281
"844","ASV_844","Eukaryota","Opisthokonta","Fungi","Ascomycota","Saccharomycotina","Saccharomycetales","Pichia","Pichia_euphorbiiphila",86.7365915761548,86.7365915761548,86.7365915761548,85.8360194056146,44.7254220160853,43.7275268208777,12.83408799126,5.11294264038317
"845","ASV_845","Eukaryota","Opisthokonta","Fungi","Ascomycota","Pezizomycotina","Eurotiomycetes","Rhinocladiella","Rhinocladiella_aquaspersa",97.7804710572557,97.7804710572557,97.7804710572557,97.7804710572557,97.7804710572557,92.6799304205813,17.1488449124059,12.8079421670946
"846","ASV_846","Eukaryota","Opisthokonta","Fungi","Basidiomycota","Pucciniomycotina","Cystobasidiomycetes","Sporobolomyces","Sporobolomyces_jilinensis",71.373201415153,71.373201415153,71.373201415153,23.3650762522997,23.3650762522997,17.6360181179991,15.4139159948013,5.58508633541609
"847","ASV_847","Eukaryota","Opisthokonta","Fungi","Basidiomycota","Pucciniomycotina","Microbotryomycetes","Microbotryomycetes_X","Microbotryomycetes_X_sp.",76.5685436471365,76.5685436471365,76.5685436471365,76.5685436471365,70.4485128581049,40.5803949229572,7.07642582161219,7.07642582161219
"848","ASV_848","Eukaryota","Opisthokonta","Fungi","Basidiomycota","Pucciniomycotina","Pucciniomycotina_X","Pucciniomycotina_XX","Pucciniomycotina_XX_sp.",69.5510865663707,69.0516641227028,69.0516641227028,66.7803396545216,53.1213316910017,28.6848931791369,28.6848931791369,28.6848931791369
"849","ASV_849","Eukaryota","Opisthokonta","Fungi","Ascomycota","Pezizomycotina","Eurotiomycetes","Aspergillus","Aspergillus_flavipes",100,99.0037552592112,99.0037552592112,99.0037552592112,99.0037552592112,96.286161677671,39.4536202824695,4.80327504880363
"850","ASV_850","Eukaryota","Opisthokonta","Fungi","Basidiomycota","Pucciniomycotina","Pucciniomycotina_X","Pucciniomycotina_XX","Pucciniomycotina_XX_sp.",80.5110183306275,80.5110183306275,80.5110183306275,80.5110183306275,73.9040311923947,58.8099172108496,58.8099172108496,58.8099172108496
