ID,sample_id_blood,sample_id_faeces,sampling_state,sampling_location,sub_species,sample_type
BLU8,B109,F109,NSW,Blue_Gum_Hills,Zosterops_lateralis_westernensis,Mainland_migrant
12912,B110,F110,QLD,Heron_Island,Zosterops_lateralis_chlorocephalus,Island_Heron
13021,B111,F111,QLD,Heron_Island,Zosterops_lateralis_chlorocephalus,Island_Heron
13023,B112,F112,QLD,Heron_Island,Zosterops_lateralis_chlorocephalus,Island_Heron
12915,B113,F113,QLD,Heron_Island,Zosterops_lateralis_chlorocephalus,Island_Heron
12916,B114,F114,QLD,Heron_Island,Zosterops_lateralis_chlorocephalus,Island_Heron
12928,B115,F115,QLD,Heron_Island,Zosterops_lateralis_chlorocephalus,Island_Heron
12932,B116,F116,QLD,Heron_Island,Zosterops_lateralis_chlorocephalus,Island_Heron
12933,B117,F117,QLD,Heron_Island,Zosterops_lateralis_chlorocephalus,Island_Heron
12935,B118,F118,QLD,Heron_Island,Zosterops_lateralis_chlorocephalus,Island_Heron
12936,B119,F119,QLD,Heron_Island,Zosterops_lateralis_chlorocephalus,Island_Heron
12969,B120,F120,QLD,Heron_Island,Zosterops_lateralis_chlorocephalus,Island_Heron
12975,B121,F121,QLD,Heron_Island,Zosterops_lateralis_chlorocephalus,Island_Heron
13012,B122,F122,QLD,Heron_Island,Zosterops_lateralis_chlorocephalus,Island_Heron
13013,B123,F123,QLD,Heron_Island,Zosterops_lateralis_chlorocephalus,Island_Heron
12978,B124,F124,QLD,Heron_Island,Zosterops_lateralis_chlorocephalus,Island_Heron
12981,B125,F125,QLD,Heron_Island,Zosterops_lateralis_chlorocephalus,Island_Heron
12983,B126,F126,QLD,Heron_Island,Zosterops_lateralis_chlorocephalus,Island_Heron
12990,B127,F127,QLD,Heron_Island,Zosterops_lateralis_chlorocephalus,Island_Heron
LEI27,B128,F128,QLD,Lady_Elliot_Island,Zosterops_lateralis_chlorocephalus,Island_LE
LEI20,B130,F130,QLD,Lady_Elliot_Island,Zosterops_lateralis_chlorocephalus,Island_LE
LEI28,B131,F131,QLD,Lady_Elliot_Island,Zosterops_lateralis_chlorocephalus,Island_LE
LEI30,B132,F132,QLD,Lady_Elliot_Island,Zosterops_lateralis_chlorocephalus,Island_LE
BRO1,B133,F133,NSW,Broughton_Island,Zosterops_lateralis_cornwalli,Broughton_trip1_resident
BRO8,B134,F134,NSW,Broughton_Island,Zosterops_lateralis_cornwalli,Broughton_trip1_resident
BRO9,B135,F135,NSW,Broughton_Island,Zosterops_lateralis_cornwalli,Broughton_trip1_resident
12986,B136,F136,QLD,Heron_Island,Zosterops_lateralis_chlorocephalus,Island_Heron
12985,B137,F137,QLD,Heron_Island,Zosterops_lateralis_chlorocephalus,Island_Heron
LEI1,B138,F138,QLD,Lady_Elliot_Island,Zosterops_lateralis_chlorocephalus,Island_LE
LEI10,B139,F139,QLD,Lady_Elliot_Island,Zosterops_lateralis_chlorocephalus,Island_LE
BRO7,B140,F140,NSW,Broughton_Island,Zosterops_lateralis_cornwalli,Broughton_trip1_resident
BRO47,B142,F142,NSW,Broughton_Island,Zosterops_lateralis_cornwalli,Broughton_trip2_resident
BRO49,B143,F143,NSW,Broughton_Island,Zosterops_lateralis_cornwalli,Broughton_trip2_resident
BRO82,B144,F144,NSW,Broughton_Island,Zosterops_lateralis_cornwalli,Broughton_trip3_resident
BRO86,B145,F145,NSW,Broughton_Island,Zosterops_lateralis_cornwalli,Broughton_trip3_resident
BRO89,B146,F146,NSW,Broughton_Island,Zosterops_lateralis_cornwalli,Broughton_trip3_resident
SAM2,B147,F147,QLD,Samsonvalle,Zosterops_lateralis_cornwalli,Mainland_resident
BLU1,B148,F148,NSW,Blue_Gum_Hills,Zosterops_lateralis_lateralis,Mainland_migrant
BLU2,B149,F149,NSW,Blue_Gum_Hills,Zosterops_lateralis_lateralis,Mainland_migrant
BLU24,B151,F151,NSW,Blue_Gum_Hills,Zosterops_lateralis_westernensis,Mainland_migrant
BLU27,B152,F152,NSW,Blue_Gum_Hills,Zosterops_lateralis_lateralis,Mainland_migrant
BLU3,B153,F153,NSW,Blue_Gum_Hills,Zosterops_lateralis_lateralis,Mainland_migrant
BLU4,B154,F154,NSW,Blue_Gum_Hills,Zosterops_lateralis_westernensis,Mainland_migrant
BRO17,B155,F155,NSW,Broughton_Island,Zosterops_lateralis_cornwalli,Broughton_trip1_resident
BRO35,B156,F156,NSW,Broughton_Island,Zosterops_lateralis_lateralis,Broughton_trip2_migrant
BRO4,B157,F157,NSW,Broughton_Island,Zosterops_lateralis_cornwalli,Broughton_trip1_resident
BRO40,B158,F158,NSW,Broughton_Island,Zosterops_lateralis_lateralis,Broughton_trip2_migrant
BRO6,B159,F159,NSW,Broughton_Island,Zosterops_lateralis_cornwalli,Broughton_trip1_resident
BRO77,B161,F161,NSW,Broughton_Island,Zosterops_lateralis_westernensis,Broughton_trip3_migrant
BRO57,B162,F162,NSW,Broughton_Island,Zosterops_lateralis_westernensis,Broughton_trip2_migrant
BRO59,B163,F163,NSW,Broughton_Island,Zosterops_lateralis_westernensis,Broughton_trip2_migrant
HOB90,B164,F164,TAS,Hobart,Zosterops_lateralis_lateralis,Tasmania_resident
BRO46,B165,F165,NSW,Broughton_Island,Zosterops_lateralis_cornwalli,Broughton_trip2_resident
BRO74,B166,F166,NSW,Broughton_Island,Zosterops_lateralis_westernensis,Broughton_trip3_migrant
BRO75,B167,F167,NSW,Broughton_Island,Zosterops_lateralis_westernensis,Broughton_trip3_migrant
12950,B168,F168,QLD,Heron_Island,Zosterops_lateralis_chlorocephalus,Island_Heron
12944,B170,F170,QLD,Heron_Island,Zosterops_lateralis_chlorocephalus,Island_Heron
BRO28,B171,F171,NSW,Broughton_Island,Zosterops_lateralis_cornwalli,Broughton_trip1_resident
HOB15,B173,F173,TAS,Hobart,Zosterops_lateralis_lateralis,Tasmania_resident
EAG22,B174,F174,QLD,Eagleby_Wetlands,Zosterops_lateralis_lateralis,Mainland_migrant
EAG31,B175,F175,QLD,Eagleby_Wetlands,Zosterops_lateralis_lateralis,Mainland_migrant
EAG36,B176,F176,QLD,Eagleby_Wetlands,Zosterops_lateralis_lateralis,Mainland_migrant
EAG40,B177,F177,QLD,Eagleby_Wetlands,Zosterops_lateralis_lateralis,Mainland_migrant
EAG44,B178,F178,QLD,Eagleby_Wetlands,Zosterops_lateralis_lateralis,Mainland_migrant
EAG71,B179,F179,QLD,Eagleby_Wetlands,Zosterops_lateralis_lateralis,Mainland_migrant
FIG4,B180,F180,QLD,Fig_Tree_Pocket,Zosterops_lateralis_cornwalli,Mainland_resident
FIG6,B181,F181,QLD,Fig_Tree_Pocket,Zosterops_lateralis_cornwalli,Mainland_resident
FIG9,B182,F182,QLD,Fig_Tree_Pocket,Zosterops_lateralis_cornwalli,Mainland_resident
HOB12,B183,F183,TAS,Hobart,Zosterops_lateralis_lateralis,Tasmania_resident
HOB19,B184,F184,TAS,Hobart,Zosterops_lateralis_lateralis,Tasmania_resident
HOB25,B185,F185,TAS,Hobart,Zosterops_lateralis_lateralis,Tasmania_resident
HOB20,B186,F186,TAS,Hobart,Zosterops_lateralis_lateralis,Tasmania_resident
BRO52,B187,F187,NSW,Broughton_Island,Zosterops_lateralis_westernensis,Broughton_trip2_migrant
FIG7,B188,F188,QLD,Fig_Tree_Pocket,Zosterops_lateralis_cornwalli,Mainland_resident
FIG8,B189,F189,QLD,Fig_Tree_Pocket,Zosterops_lateralis_cornwalli,Mainland_resident
BRO53,B190,F190,NSW,Broughton_Island,Zosterops_lateralis_westernensis,Broughton_trip2_migrant
